,Open,High,Low,Close,Volume,VolumeTicks
2023.08.17 13:19,117695.00000,117705.00000,117670.00000,117700.00000,3916,13251
2023.08.17 13:20,117695.00000,117715.00000,117670.00000,117695.00000,6497,23104
2023.08.17 13:21,117700.00000,117795.00000,117690.00000,117790.00000,14336,48970
2023.08.17 13:22,117785.00000,117820.00000,117770.00000,117805.00000,10935,38785
2023.08.17 13:23,117800.00000,117805.00000,117775.00000,117785.00000,5132,18706
2023.08.17 13:24,117785.00000,117855.00000,117775.00000,117845.00000,9705,36993
2023.08.17 13:25,117845.00000,117855.00000,117790.00000,117815.00000,8388,32325
2023.08.17 13:26,117815.00000,117890.00000,117810.00000,117865.00000,11164,43903
2023.08.17 13:27,117865.00000,117885.00000,117845.00000,117860.00000,5756,24391
2023.08.17 13:28,117865.00000,117880.00000,117850.00000,117865.00000,3479,11554
2023.08.17 13:29,117865.00000,117890.00000,117860.00000,117865.00000,3870,14035
2023.08.17 13:30,117870.00000,117915.00000,117855.00000,117910.00000,7382,28359
2023.08.17 13:31,117905.00000,117910.00000,117815.00000,117870.00000,12206,45745
2023.08.17 13:32,117870.00000,117875.00000,117845.00000,117870.00000,3271,11766
2023.08.17 13:33,117870.00000,117870.00000,117810.00000,117815.00000,6141,23275
2023.08.17 13:34,117810.00000,117815.00000,117730.00000,117740.00000,13754,50742
2023.08.17 13:35,117745.00000,117780.00000,117735.00000,117765.00000,6979,26904
2023.08.17 13:36,117770.00000,117770.00000,117705.00000,117730.00000,9225,33574
2023.08.17 13:37,117730.00000,117750.00000,117720.00000,117725.00000,3562,12430
2023.08.17 13:38,117730.00000,117745.00000,117700.00000,117710.00000,3958,16190
2023.08.17 13:39,117710.00000,117720.00000,117690.00000,117715.00000,4179,14774
2023.08.17 13:40,117715.00000,117725.00000,117680.00000,117715.00000,4975,18399
2023.08.17 13:41,117720.00000,117760.00000,117705.00000,117740.00000,7591,26606
2023.08.17 13:42,117740.00000,117740.00000,117705.00000,117735.00000,3557,11939
2023.08.17 13:43,117735.00000,117760.00000,117705.00000,117710.00000,5341,17819
2023.08.17 13:44,117715.00000,117725.00000,117695.00000,117710.00000,3103,11020
2023.08.17 13:45,117710.00000,117725.00000,117700.00000,117720.00000,2336,6545
2023.08.17 13:46,117715.00000,117730.00000,117710.00000,117725.00000,2048,7530
2023.08.17 13:47,117720.00000,117725.00000,117700.00000,117710.00000,2026,6968
2023.08.17 13:48,117710.00000,117720.00000,117665.00000,117685.00000,6761,23251
2023.08.17 13:49,117680.00000,117740.00000,117675.00000,117730.00000,6225,24507
2023.08.17 13:50,117730.00000,117740.00000,117710.00000,117725.00000,3759,12304
2023.08.17 13:51,117720.00000,117725.00000,117670.00000,117705.00000,5264,18099
2023.08.17 13:52,117705.00000,117755.00000,117695.00000,117725.00000,5874,21380
2023.08.17 13:53,117725.00000,117730.00000,117700.00000,117705.00000,2718,10086
2023.08.17 13:54,117700.00000,117745.00000,117700.00000,117730.00000,2993,10299
2023.08.17 13:55,117735.00000,117845.00000,117730.00000,117840.00000,16810,57823
2023.08.17 13:56,117840.00000,117870.00000,117805.00000,117825.00000,10903,37621
2023.08.17 13:57,117820.00000,117855.00000,117810.00000,117845.00000,4057,13294
2023.08.17 13:58,117840.00000,117850.00000,117810.00000,117810.00000,3568,11617
2023.08.17 13:59,117810.00000,117865.00000,117810.00000,117850.00000,3715,13211
2023.08.17 14:00,117855.00000,117880.00000,117740.00000,117740.00000,13949,48534
2023.08.17 14:01,117740.00000,117755.00000,117720.00000,117745.00000,6707,23956
2023.08.17 14:02,117745.00000,117755.00000,117710.00000,117725.00000,4899,15894
2023.08.17 14:03,117730.00000,117745.00000,117720.00000,117740.00000,2697,9483
2023.08.17 14:04,117740.00000,117740.00000,117675.00000,117680.00000,7034,25999
2023.08.17 14:05,117680.00000,117685.00000,117620.00000,117635.00000,13610,45438
2023.08.17 14:06,117635.00000,117680.00000,117620.00000,117665.00000,7427,27978
2023.08.17 14:07,117670.00000,117725.00000,117655.00000,117715.00000,7360,27988
2023.08.17 14:08,117715.00000,117735.00000,117685.00000,117730.00000,5290,18725
2023.08.17 14:09,117725.00000,117750.00000,117700.00000,117700.00000,5302,18661
2023.08.17 14:10,117700.00000,117710.00000,117675.00000,117690.00000,4499,16399
2023.08.17 14:11,117690.00000,117710.00000,117675.00000,117710.00000,2853,9717
2023.08.17 14:12,117710.00000,117715.00000,117680.00000,117690.00000,2445,7739
2023.08.17 14:13,117695.00000,117710.00000,117670.00000,117690.00000,2843,8815
2023.08.17 14:14,117685.00000,117690.00000,117650.00000,117690.00000,5044,16282
2023.08.17 14:15,117685.00000,117720.00000,117685.00000,117690.00000,5281,16722
