,Open,High,Low,Close,Volume,VolumeTicks
2023.10.05 13:46,113270.00000,113275.00000,113230.00000,113230.00000,1851,18574
2023.10.05 13:47,113235.00000,113245.00000,113200.00000,113210.00000,2082,24063
2023.10.05 13:48,113215.00000,113215.00000,113150.00000,113150.00000,2901,37560
2023.10.05 13:49,113150.00000,113190.00000,113145.00000,113175.00000,2340,28332
2023.10.05 13:50,113180.00000,113270.00000,113170.00000,113245.00000,3298,43335
2023.10.05 13:51,113245.00000,113260.00000,113225.00000,113245.00000,1464,14093
2023.10.05 13:52,113250.00000,113250.00000,113215.00000,113225.00000,1197,9395
2023.10.05 13:53,113220.00000,113255.00000,113215.00000,113245.00000,1094,11580
2023.10.05 13:54,113240.00000,113250.00000,113215.00000,113240.00000,903,10416
2023.10.05 13:55,113240.00000,113240.00000,113170.00000,113180.00000,1923,24863
2023.10.05 13:56,113180.00000,113185.00000,113130.00000,113145.00000,2664,32149
2023.10.05 13:57,113150.00000,113170.00000,113120.00000,113145.00000,2117,21160
2023.10.05 13:58,113150.00000,113195.00000,113150.00000,113190.00000,1664,18470
2023.10.05 13:59,113185.00000,113220.00000,113170.00000,113215.00000,1668,19135
2023.10.05 14:00,113210.00000,113250.00000,113205.00000,113220.00000,2127,25274
2023.10.05 14:01,113215.00000,113230.00000,113200.00000,113215.00000,1117,11969
2023.10.05 14:02,113220.00000,113225.00000,113145.00000,113165.00000,1723,25958
2023.10.05 14:03,113165.00000,113185.00000,113150.00000,113180.00000,1325,11975
2023.10.05 14:04,113180.00000,113190.00000,113135.00000,113140.00000,1478,15470
2023.10.05 14:05,113140.00000,113175.00000,113105.00000,113135.00000,2292,27749
2023.10.05 14:06,113130.00000,113170.00000,113105.00000,113160.00000,2066,23282
2023.10.05 14:07,113155.00000,113170.00000,113105.00000,113110.00000,1404,17143
2023.10.05 14:08,113110.00000,113135.00000,113045.00000,113060.00000,4022,56278
2023.10.05 14:09,113055.00000,113065.00000,113030.00000,113045.00000,2815,33796
2023.10.05 14:10,113040.00000,113100.00000,113035.00000,113085.00000,2889,31131
2023.10.05 14:11,113090.00000,113115.00000,113070.00000,113110.00000,1982,24662
2023.10.05 14:12,113110.00000,113150.00000,113095.00000,113140.00000,1991,24095
2023.10.05 14:13,113140.00000,113205.00000,113130.00000,113185.00000,3138,38724
2023.10.05 14:14,113185.00000,113210.00000,113170.00000,113190.00000,1866,23490
2023.10.05 14:15,113190.00000,113210.00000,113165.00000,113180.00000,1862,17529
2023.10.05 14:16,113180.00000,113185.00000,113130.00000,113130.00000,1974,21185
2023.10.05 14:17,113130.00000,113190.00000,113125.00000,113160.00000,2065,19617
2023.10.05 14:18,113160.00000,113220.00000,113145.00000,113210.00000,1793,19445
2023.10.05 14:19,113205.00000,113210.00000,113155.00000,113175.00000,1736,17222
2023.10.05 14:20,113175.00000,113180.00000,113100.00000,113115.00000,2892,39934
2023.10.05 14:21,113120.00000,113210.00000,113115.00000,113195.00000,2305,29065
2023.10.05 14:22,113195.00000,113215.00000,113180.00000,113195.00000,1672,17820
2023.10.05 14:23,113195.00000,113230.00000,113180.00000,113210.00000,1821,18593
2023.10.05 14:24,113210.00000,113220.00000,113140.00000,113150.00000,1911,24946
2023.10.05 14:25,113155.00000,113155.00000,113105.00000,113115.00000,2123,22954
2023.10.05 14:26,113115.00000,113140.00000,113090.00000,113130.00000,1893,22912
2023.10.05 14:27,113135.00000,113165.00000,113120.00000,113155.00000,1404,14479
2023.10.05 14:28,113160.00000,113165.00000,113120.00000,113130.00000,1119,10291
2023.10.05 14:29,113130.00000,113200.00000,113120.00000,113190.00000,1797,22141
2023.10.05 14:30,113185.00000,113205.00000,113140.00000,113150.00000,1741,21186
2023.10.05 14:31,113150.00000,113155.00000,113060.00000,113060.00000,2740,39357
2023.10.05 14:32,113065.00000,113100.00000,113035.00000,113080.00000,2954,40581
2023.10.05 14:33,113080.00000,113120.00000,113060.00000,113105.00000,2104,25058
2023.10.05 14:34,113110.00000,113160.00000,113095.00000,113150.00000,2548,33104
2023.10.05 14:35,113150.00000,113175.00000,113120.00000,113170.00000,1772,22571
2023.10.05 14:36,113175.00000,113220.00000,113155.00000,113175.00000,2797,39728
2023.10.05 14:37,113170.00000,113185.00000,113140.00000,113185.00000,1422,17633
